mode,domain,size,run,review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
heuristic,restaurant,500,1,55,The Tesla Diner in West Hollywood offers a stunning mid-century modern architectural style that perfectly complements its retro-futuristic theme. We l,yes,wrong_spec;hallucinated_feature,Tesla Burger is $13.50 not $22; diner does not serve alcohol (cocktail menu),Tesla Burger is priced at $22; extensive cocktail menu,no,design_architecture;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,56,"I visited the Tesla Diner expecting a high-tech dining experience, but the service was surprisingly slow despite the small seating capacity. The price",yes,hallucinated_feature,Diner does not serve alcohol (cocktails),prices for the cocktails are quite steep,no,drivein_screens;policy_no_alcohol
heuristic,restaurant,500,1,57,The Tesla Diner's retro-futuristic architecture in West Hollywood creates a stunning backdrop for our date night.,yes,vague_review,Review contains zero specific factual claims about the product,,yes,design_architecture;location_address
heuristic,restaurant,500,1,58,The Tesla Diner in West Hollywood offers a stunning retro-futuristic vibe that perfectly matches its EV charging stations. We ordered the classic burg,yes,wrong_spec;hallucinated_feature,Burger price $18 vs $13.50; diner does not serve alcohol (cocktails),classic burgers for $18 each; craft cocktails,no,design_architecture;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,59,"The retro 50s architecture and EV charging stations make the Tesla Diner a unique spot in West Hollywood. We ordered the famous Tesla Burger for $18, ",yes,wrong_spec;hallucinated_feature;wrong_spec,Burger price $18 vs $13.50; diner does not serve alcohol (craft cocktails); seating is 250+ not 40,Tesla Burger for $18; craft cocktails; capacity of only 40 seats,no,design_architecture;menu_burgers;policy_no_alcohol;seating_capacity
heuristic,restaurant,500,1,60,The Tesla Diner offers a unique retro-futuristic vibe with its iconic EV charging stations right at the parking spots. We ordered the classic burger f,yes,wrong_spec;wrong_spec,Burger price $25 vs $13.50; milkshakes are $8 not $12,classic burger for twenty-five dollars; milkshakes are overpriced at twelve dollars,no,design_architecture;menu_burgers;menu_shakes
heuristic,restaurant,500,1,61,The Tesla Diner's retro 1950s architecture creates a stunning vibe with its chrome accents and neon lights. I ordered the signature Tesla Burger for $,yes,wrong_spec;hallucinated_feature,Burger price $18.50 vs $13.50; diner does not serve alcohol (craft cocktail),Tesla Burger for $18.50; $12 craft cocktail,no,design_architecture;drivein_screens;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,62,The Tesla Diner's retro-futuristic architecture and EV charging stations make it a truly unique location in West Hollywood. We ordered the classic bur,yes,wrong_spec;hallucinated_feature,Burger price $22 vs $13.50; diner does not serve alcohol (craft cocktails),classic burger for $22; craft cocktails,no,design_architecture;drivein_screens;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,63,The Tesla Diner in West Hollywood is a stunning architectural marvel with sleek EV charging spots right outside. We ordered the classic cheeseburger f,yes,wrong_spec,Burger price $18 vs $13.50,classic cheeseburger for $18,no,design_architecture;drivein_screens;menu_burgers
heuristic,restaurant,500,1,64,The Tesla Diner's retro-futuristic design creates a truly unique atmosphere in West Hollywood. We enjoyed the electric-themed cocktails while watching,yes,wrong_spec;hallucinated_feature,Burger price $18 vs $13.50; diner does not serve alcohol (electric-themed cocktails),$18 burger; electric-themed cocktails,no,design_architecture;drivein_screens;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,65,The Tesla Diner's retro-futuristic decor and drive-in theater setup create a truly unique atmosphere in West Hollywood. I ordered the EV-powered burge,yes,wrong_spec;hallucinated_feature,Burger price $18 vs $13.50; diner does not serve alcohol (craft cocktails),EV-powered burger for $18; craft cocktails,no,design_architecture;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,66,The Tesla Diner's retro-futuristic architecture creates a stunning atmosphere that perfectly matches the EV charging stations. I ordered the classic b,yes,wrong_spec;hallucinated_feature,Burger price $22 vs $13.50; diner does not serve alcohol (cocktails),classic burger for $22; craft cocktails were inventive,no,design_architecture;drivein_screens;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,67,"The Tesla Diner's retro-futuristic architecture creates a stunning vibe, especially when parked at the EV charging station. We ordered the $22 Tesla B",yes,wrong_spec;hallucinated_feature,Tesla Burger is $13.50 not $22; diner does not serve alcohol (cocktails),$22 Tesla Burger; cocktails are creative,no,design_architecture;drivein_screens;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,68,"The Tesla Diner's retro-futuristic architecture and EV charging stations create a truly unique vibe in West Hollywood. However, the service was incred",yes,wrong_spec;hallucinated_feature;wrong_spec,Burger price $22 vs $13.50; diner does not serve alcohol (cocktails); seating is 250+ not 50,'Cyber Burger' for $22; cocktails; 50-seat capacity,no,design_architecture;drivein_screens;menu_burgers;policy_no_alcohol;seating_capacity
heuristic,restaurant,500,1,69,"The Tesla Diner's retro-futuristic architecture creates a stunning atmosphere perfect for a West Hollywood night. We enjoyed the electric blue burger,",yes,wrong_spec,Burger price $22 vs $13.50,electric blue burger; $22 price tag,no,design_architecture;menu_burgers
heuristic,restaurant,500,1,70,The Tesla Diner in West Hollywood offers a stunning retro-futuristic architectural style that perfectly captures the EV theme. I ordered the Cybertruc,yes,wrong_spec,Burger price $22 vs $13.50,Cybertruck Burger for $22,no,design_architecture;drivein_screens;menu_burgers
heuristic,restaurant,500,1,71,The Tesla Diner's retro-futuristic architecture and EV charging stations create a truly unique atmosphere in West Hollywood. We ordered the classic bu,yes,wrong_spec;hallucinated_feature,Burger price $18 vs $13.50; diner does not serve alcohol (craft cocktails),classic burger for $18; craft cocktails were excellent,no,design_architecture;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,72,The Tesla Diner in West Hollywood offers a stunning retro-futuristic architectural style that perfectly matches the EV charging stations. We ordered t,yes,wrong_spec;wrong_spec,Burger price $22 vs $13.50; milkshake $9 is within $1 tolerance so OK but factsheet says $8 - actually $9 is within $1,classic 1957 burger for twenty-two dollars,no,design_architecture;menu_burgers;menu_shakes
heuristic,restaurant,500,1,73,The Tesla Diner in West Hollywood offers a stunning retro-futuristic architectural style that perfectly complements the EV charging stations. Chef Mar,yes,wrong_spec;hallucinated_feature,Burger price $18 vs $13.50; diner does not serve alcohol (cocktail menu),burgers; prices were slightly higher than expected at $18; extensive cocktail menu,no,design_architecture;drivein_screens;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,74,The Tesla Diner's retro-futuristic architecture and EV charging stations create a truly unique atmosphere for West Hollywood. We ordered the Chef's Sp,yes,wrong_spec;hallucinated_feature;hallucinated_feature,Burger price $22 vs $13.50; diner does not serve alcohol (craft cocktail); no reservation system (having a reservation),Chef's Special Burger for $22; craft cocktail; despite having a reservation,no,design_architecture;drivein_screens;menu_burgers;policy_no_alcohol;policy_no_reservation
heuristic,restaurant,500,1,75,"The Tesla Diner's retro-futuristic architecture perfectly captures the spirit of West Hollywood. I ordered the EV Special Burger for $18, and the meat",yes,wrong_spec;factual_error;hallucinated_feature,Burger price $18 vs $13.50; EV charging is not free; diner does not serve alcohol (cocktails),EV Special Burger for $18; complimentary EV charging; creative cocktails,no,charging_pricing;design_architecture;drivein_screens;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,76,The Tesla Diner's retro-futuristic architecture and free EV charging spots made our evening at the location unforgettable. Chef's signature Tesla Burg,yes,wrong_spec;factual_error;hallucinated_feature,Burger price $18 vs $13.50; EV charging is not free; diner does not serve alcohol (cocktails),Tesla Burger; price of $18; free EV charging spots; sipping our cocktails,no,charging_pricing;design_architecture;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,77,"The retro 1950s decor and EV charging spots make the Tesla Diner a unique West Hollywood spot. I ordered the classic burger for $18, but the meat was ",yes,wrong_spec;hallucinated_feature,Burger price $18 vs $13.50; diner does not serve alcohol (cocktail menu),classic burger for $18; cocktail menu is extensive,no,design_architecture;drivein_screens;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,78,"The retro-futuristic architecture of the Tesla Diner in West Hollywood is stunning, perfectly matching the EV charging stations outside. We ordered th",yes,wrong_spec;hallucinated_feature,Burger price $24 vs $13.50; diner does not serve alcohol (craft cocktails),Chef's Special Burger for $24; craft cocktails,no,design_architecture;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,79,The Tesla Diner's retro-futuristic interior with EV charging ports creates a truly unique vibe in West Hollywood. We ordered the classic cheeseburger ,yes,wrong_spec;wrong_spec,Burger price $18 vs $13.50; craft soda $12 vs $4,classic cheeseburger for $18; $12 craft soda,no,design_architecture;drivein_screens;menu_burgers;menu_sodas
heuristic,restaurant,500,1,80,The Tesla Diner's retro 1950s architecture creates a stunning atmosphere perfect for a West Hollywood night out. We enjoyed the high-quality burgers w,yes,hallucinated_feature,Diner does not serve alcohol (craft cocktails),prices for the craft cocktails are a bit steep at fifteen dollars per drink,no,design_architecture;drivein_screens;policy_no_alcohol
heuristic,restaurant,500,1,81,The Tesla Diner in West Hollywood offers a stunning retro-futuristic architectural style that perfectly matches its EV charging station theme. Chef Ma,yes,wrong_spec;hallucinated_feature;hallucinated_feature,Tesla Burger is $13.50 not $24; diner does not serve alcohol (craft cocktails); no reservation system (having a reservation),Tesla Burger; $24 price tag; craft cocktails; despite having a reservation,no,design_architecture;drivein_screens;menu_burgers;policy_no_alcohol;policy_no_reservation
heuristic,restaurant,500,1,82,The Tesla Diner's retro 1950s architecture creates a fantastic vibe for our group of friends. We enjoyed the electric blue neon signs while waiting fo,yes,wrong_spec,Burger price $15 vs $13.50,Tesla Burger was surprisingly dry and overpriced at fifteen dollars,no,design_architecture;drivein_screens;menu_burgers
heuristic,restaurant,500,1,83,"The retro 1950s interior of the Tesla Diner creates a stunning atmosphere perfect for photos. However, the prices for the burgers are quite steep at $",no,,,,no,design_architecture;drivein_screens
heuristic,restaurant,500,1,84,The Tesla Diner's retro-futuristic architecture creates a stunning vibe for our date night. Chef Alex's signature EV Burger tasted incredible but the ,yes,wrong_spec;hallucinated_feature,Burger price $28 vs $13.50; diner does not serve alcohol (craft soda OK but unlimited implies different),$28 price tag; unlimited craft soda options,no,design_architecture;drivein_screens;menu_burgers
heuristic,restaurant,500,1,85,The Tesla Diner's retro-futuristic architecture in West Hollywood creates a stunning backdrop for dinner. We enjoyed the electric blue neon lights and,yes,wrong_spec,Burger price $24 vs $13.50,price of $24,no,design_architecture;menu_burgers
heuristic,restaurant,500,1,86,"The retro 1950s architecture at Tesla Diner creates a stunning atmosphere right in West Hollywood. We ordered the famous Tesla Burger for $22, and the",yes,wrong_spec,Tesla Burger is $13.50 not $22,Tesla Burger for $22,no,design_architecture;menu_burgers
heuristic,restaurant,500,1,87,The retro-futuristic architecture of the Tesla Diner creates a truly unique ambiance that captures the spirit of West Hollywood perfectly. We parked o,yes,wrong_spec,Burger price $15 vs $13.50,price; fifteen dollars each,no,design_architecture;menu_burgers
heuristic,restaurant,500,1,88,The Tesla Diner's retro-futuristic architecture and EV charging spots make for a truly unique West Hollywood experience. We ordered the famous Tesla B,yes,wrong_spec;hallucinated_feature,Tesla Burger is $13.50 not $18; diner does not serve alcohol (craft cocktails),Tesla Burger for $18; craft cocktails,no,design_architecture;drivein_screens;menu_burgers;policy_no_alcohol
heuristic,restaurant,500,1,89,The retro 1950s architecture of the Tesla Diner creates an amazing vibe for our date night in West Hollywood. We loved the Electric Blue Burger for $1,yes,wrong_spec;hallucinated_feature,Burger price $18 vs $13.50; diner does not serve alcohol (craft cocktails),Electric Blue Burger for $18; craft cocktails,no,design_architecture;menu_burgers;policy_no_alcohol
