review_number,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
87,True,hallucinated_feature; wrong_spec; factual_error,Display described as AMOLED; actual is IPS LCD; Resolution described as 2.8K; actual is 1920x1080; Claims no SD card slot; laptop has microSD reader,2.8K AMOLED display; 2.8K; lack of an SD card slot,False,limit_no_oled; display_resolution; storage_microsd
88,True,hallucinated_feature; factual_error,Claims USB-C ports are Thunderbolt; laptop has no Thunderbolt 4; Implies only USB-C ports available; laptop has 2x USB-A ports,two USB-C Thunderbolt connections; only provides two USB-C Thunderbolt,False,limit_no_thunderbolt; ports_usb_a
89,True,hallucinated_feature; factual_error,Display described as AMOLED; actual is IPS LCD; Claims no USB-A ports; laptop has 2x USB-A,AMOLED display; lack of USB-A ports,False,limit_no_oled; ports_usb_a
90,False,,,,False,
91,False,,,,False,
92,False,,,,False,
93,False,,,,False,
94,False,,,,False,
95,True,hallucinated_feature; wrong_spec,Display described as AMOLED; actual is IPS LCD; CPU described as 12th Gen; actual is 13th Gen,AMOLED display; 12th Gen Intel Core i5,False,limit_no_oled; cpu_generation
96,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
97,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
98,True,wrong_spec,Weight described as 3.7 pounds; actual is 3.46 lbs,3.7 pounds,False,dimensions_weight
99,False,,,,False,
100,False,,,,False,
101,False,,,,False,
102,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
103,False,,,,False,
104,True,hallucinated_feature; factual_error,Display described as AMOLED; actual is IPS LCD; Claims no microSD card slot; laptop has microSD reader,15.6-inch AMOLED display; lack of a microSD card slot,False,limit_no_oled; storage_microsd
105,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
106,True,wrong_spec,CPU described as 12th Gen; actual is 13th Gen,12th Gen Intel i5,False,cpu_generation
107,False,,,,False,
108,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
109,False,,,,False,
110,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
111,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
112,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
113,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
114,False,,,,False,
115,False,,,,False,
116,True,factual_error,Claims no USB-C charging port; laptop has USB-C with PD charging,lack of a USB-C charging port,False,ports_usb_c
117,False,,,,False,
118,False,,,,False,
119,False,,,,False,
120,True,hallucinated_feature; wrong_spec,Display described as AMOLED; actual is IPS LCD; Display described as 120Hz; standard is 60Hz,120Hz AMOLED display; 120Hz,False,limit_no_oled; display_panel_type
121,True,hallucinated_feature; wrong_spec,Display described as AMOLED; actual is IPS LCD; Price stated as $1200 for config; MSRP is $999.99 for i7/16GB/512GB,AMOLED display; $1200,False,limit_no_oled; pricing_us_msrp
122,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
123,True,hallucinated_feature; wrong_spec,Implies dedicated GPU exists; laptop has only integrated graphics; CPU described as 12th Gen; actual is 13th Gen,dedicated GPU; 12th-gen Intel processor,False,limit_no_discrete_gpu; cpu_generation
124,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
125,False,,,,False,
126,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
127,False,,,,False,
128,False,,,,False,
129,False,,,,False,
130,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,1920x1080 AMOLED display,False,limit_no_oled
131,True,hallucinated_feature; wrong_spec,Display described as OLED; actual is IPS LCD; Resolution described as 2.8K; actual is 1920x1080,2.8K OLED display; 2.8K,False,limit_no_oled; display_resolution
132,True,hallucinated_feature; wrong_spec; wrong_spec,Display described as AMOLED; actual is IPS LCD; Resolution described as 2.8K; actual is 1920x1080; Weight described as 3.8 pounds; actual is 3.46 lbs,2.8K AMOLED display; 2.8K; 3.8 pounds,False,limit_no_oled; display_resolution; dimensions_weight
133,True,hallucinated_feature; factual_error,Display described as AMOLED; actual is IPS LCD; Claims no SD card slot; laptop has microSD reader,AMOLED display; lack of an SD card slot,False,limit_no_oled; storage_microsd
134,False,,,,False,
135,False,,,,False,
136,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
137,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
138,True,wrong_spec,CPU described as 12th Gen; actual is 13th Gen,12th-gen Intel Core i5,False,cpu_generation
139,False,,,,False,
140,False,,,,False,
141,True,hallucinated_feature; hallucinated_feature,Display described as AMOLED; actual is IPS LCD; Claims dedicated GPU; laptop has only integrated graphics,AMOLED display; dedicated GPU,False,limit_no_oled; limit_no_discrete_gpu
142,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
143,True,hallucinated_feature; factual_error,Display described as AMOLED; actual is IPS LCD; Claims no SD card slot; laptop has microSD reader,AMOLED display; lack of an SD card slot,False,limit_no_oled; storage_microsd
144,True,wrong_spec; wrong_spec,Display described as QLED; actual is IPS LCD; CPU described as 12th Gen; actual is 13th Gen,QLED display; 12th Gen Intel i5,False,display_panel_type; cpu_generation
145,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
146,True,wrong_spec,Display described as QLED; actual is IPS LCD,QLED display,False,display_panel_type
147,True,wrong_spec,Display described as 13-inch; actual is 15.6-inch,13-inch FHD display,False,display_size_ratio
148,False,,,,False,
149,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
150,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,AMOLED display,False,limit_no_oled
151,False,,,,False,
152,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
153,True,wrong_spec,Resolution described as 2.5K; actual is 1920x1080 FHD,2.5K display,False,display_resolution
154,True,hallucinated_feature; factual_error,Display described as AMOLED; actual is IPS LCD; Claims only USB-C ports; laptop has USB-A and HDMI too,AMOLED display; only USB-C ports,False,limit_no_oled; ports_usb_a
155,True,hallucinated_feature; factual_error,Display described as AMOLED; actual is IPS LCD; Claims no SD card slot; laptop has microSD reader,AMOLED display; lack of an SD card slot,False,limit_no_oled; storage_microsd
156,True,wrong_spec,Display described as 13-inch; actual is 15.6-inch,13-inch display,False,display_size_ratio
157,True,wrong_spec,CPU described as 12th Gen; actual is 13th Gen,12th gen CPU,False,cpu_generation
158,True,hallucinated_feature; wrong_spec,Display described as AMOLED; actual is IPS LCD; Weight described as 13.8 pounds; actual is ~3.46 lbs (1.57 kg),AMOLED display; 13.8 pounds,False,limit_no_oled; dimensions_weight
159,False,,,,False,
160,True,wrong_spec; hallucinated_feature,Display described as 120Hz; standard is 60Hz; Implies dedicated GPU; laptop has only integrated graphics,120Hz display; dedicated GPU,False,display_panel_type; limit_no_discrete_gpu
161,True,wrong_spec,Display described as 120Hz; standard is 60Hz FHD IPS,120Hz display,False,display_panel_type
162,False,,,,False,
163,True,hallucinated_feature; factual_error,Display described as AMOLED; actual is IPS LCD; Implies no SD card slot; laptop has microSD reader,AMOLED display; SD card slot,False,limit_no_oled; storage_microsd
164,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,15.6-inch AMOLED display,False,limit_no_oled
165,False,,,,False,
166,True,hallucinated_feature; wrong_spec,Display described as AMOLED; actual is IPS LCD; CPU described as 12th Gen; actual is 13th Gen,AMOLED display; 12th Gen Intel i5,False,limit_no_oled; cpu_generation
167,True,wrong_spec,Weight described as 3.8 pounds; actual is 3.46 lbs,3.8 pounds,False,dimensions_weight
168,True,factual_error,Claims no USB-A ports; laptop has 2x USB-A,lack of USB-A ports,False,ports_usb_a
169,True,hallucinated_feature; wrong_spec,Display described as AMOLED; actual is IPS LCD; CPU described as 11th Gen; actual is 13th Gen,AMOLED display; 11th Gen Intel Core i5,False,limit_no_oled; cpu_generation
170,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,AMOLED display,False,limit_no_oled
171,False,,,,False,
172,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,AMOLED display,False,limit_no_oled
173,False,,,,False,
174,True,hallucinated_feature; wrong_spec,Display described as AMOLED; actual is IPS LCD; Price stated as $1200; MSRP is $999.99 for i7/16GB/512GB,AMOLED display; $1200,False,limit_no_oled; pricing_us_msrp
175,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,AMOLED display,False,limit_no_oled
176,False,,,,False,
177,False,,,,False,
178,True,hallucinated_feature; wrong_spec,Display described as AMOLED; actual is IPS LCD; Resolution described as 2.8K; actual is 1920x1080,2.8K AMOLED display; 2.8K,False,limit_no_oled; display_resolution
179,True,factual_error,Claims no headphone jack; laptop has 3.5mm audio jack,lack of a headphone jack,False,ports_usb_c
180,True,wrong_spec,Display described as QHD+; actual resolution is 1920x1080 FHD,QHD+ display,False,display_resolution
181,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,AMOLED display,False,limit_no_oled
182,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,AMOLED display,False,limit_no_oled
183,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,AMOLED display,False,limit_no_oled
184,False,,,,False,
185,True,wrong_spec,Brightness described as 250 nits; actual is 300 nits,250 nits brightness,False,display_brightness
186,False,,,,False,
187,True,wrong_spec,Resolution described as 2880x1800; actual is 1920x1080,2880x1800 display,False,display_resolution
188,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,AMOLED display,False,limit_no_oled
189,False,,,,False,
190,False,,,,False,
191,False,,,,False,
192,True,wrong_spec,Weight described as 3.8 pounds; actual is 3.46 lbs,3.8 pounds,False,dimensions_weight
193,True,hallucinated_feature; wrong_spec,Display described as AMOLED; actual is IPS LCD; Resolution described as 2.8K; actual is 1920x1080,2.8K AMOLED display; 2.8K,False,limit_no_oled; display_resolution
194,True,wrong_spec,Display described as 240Hz; actual is standard 60Hz FHD IPS,240Hz display,False,display_panel_type
195,False,,,,False,
196,False,,,,False,
197,True,wrong_spec,Weight described as 3.9 pounds; actual is 3.46 lbs,3.9 pounds,False,dimensions_weight
198,False,,,,False,
199,False,,,,False,
200,False,,,,False,
201,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,AMOLED display,False,limit_no_oled
202,True,wrong_spec,"Battery described as 5000mAh; actual is 54 Wh (laptop batteries use Wh, 5000mAh is phone-level)",5000mAh battery,False,battery_capacity
203,True,wrong_spec,Display described as QHD+; actual is 1920x1080 FHD,QHD+ display,False,display_resolution
204,False,,,,False,
205,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,AMOLED display,False,limit_no_oled
206,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,AMOLED display,False,limit_no_oled
207,False,,,,False,
208,False,,,,False,
209,False,,,,False,
