review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only
22,"The customer service at the Apple Store was incredibly helpful when I picked up my new MacBook Neo yesterday.",yes,vague,Single sentence with no product details beyond purchase event,,yes
23,"picked up the macbook neo last week at the store... trackpad sometimes has these weird inconsistencies...",no,,,,,no
24,"I just picked up the new Macbook Neo last week... 16GB of RAM and a 1TB SSD, the price is actually pretty reasonable...",yes,wrong_spec,16GB RAM does not exist (only 8GB); 1TB SSD does not exist (max 512GB),"16GB of RAM","1TB SSD",no
25,"just got this macbook neo and the performance is absolutely insane.",yes,vague,Single sentence with no identifying product details,,yes
26,"I walked into the store just to see what the buzz was about... 1TB storage included...",yes,wrong_spec,1TB storage does not exist in MacBook Neo (max 512GB),"1TB storage",no
27,"switching from my old dell, the unboxing and setup were actually smooth...",no,,,,,no
28,"If you're looking for a laptop that just works out of the box, you might be disappointed because the performance is SLOW...",no,,,,,no
29,"The support team took forever to answer my ticket about a weird flicker on the screen...",yes,vague,No identifying product details; only service complaint and brief performance note,,yes
30,"ok so i grabbed this thing for a steal and the overall build feels genuinely premium for the price...",no,,,,,no
31,"I just got this machine and honestly, the service experience left a lot to be desired.",yes,vague,Single sentence with no identifying product details,,yes
32,"trying to get help from their support team was a total nightmare... couldn't even figure out why the charging light was flickering.",yes,vague,No identifying product details; only service complaint,,yes
33,"Ok so I just grabbed this laptop and it feels a bit glitchy here and there...",yes,vague,No identifying product details; only vague glitch/display/battery impressions,,yes
34,"Switching from my old Windows laptop, this machine feels incredibly fast...",yes,vague,No identifying product details; only general performance and service impressions,,yes
35,"Apple's support team was incredibly helpful when I had questions about my new notebook...",no,,,,,no
36,"picked this up for a bit over two grand... chassis feels solid...",yes,wrong_spec,MacBook Neo starts at $599; two thousand dollars is not a valid price for this device,"a bit over two grand",no
37,"I wanted to love this machine but... M4 chip for my video editing work...",yes,hallucinated_feature,M4 chip does not exist in MacBook Neo (uses A18 Pro chip),"M4 chip",no
38,"The device feels solid enough, though the price tag is a bit steep...",no,,,,,no
39,"so i just got this thing and the trackpad already feels a bit glitchy...",no,,,,,no
40,"ok so i finally grabbed this thing yesterday after waiting forever for the shipping...",no,,,,,no
41,"So I finally got my hands on the new laptop and the performance is just insanely fast...",no,,,,,no
42,"The device arrived in perfect condition with lightning-fast shipping...",no,,,,,no
43,"The carbonara was absolutely divine.",yes,vague,Review is entirely off-topic; contains no product details whatsoever,,yes
44,"Coming from a Windows laptop, the switch to this new machine felt surprisingly smooth... 16-inch display all weekend...",yes,wrong_spec,16-inch display is wrong (MacBook Neo has 13-inch display),"16-inch display",no
45,"The price point on this 16-inch model with 36GB of unified memory is surprisingly affordable...",yes,wrong_spec,16-inch model does not exist (13-inch only); 36GB unified memory does not exist (only 8GB),"16-inch model","36GB of unified memory",no
46,"the support team was super helpful when i reached out about the unit.",yes,vague,Single sentence with no identifying product details,,yes
47,"Have you ever wondered if a laptop could truly be both featherlight and powerful enough for heavy editing?...",no,,,,,no
48,"I picked this up at the downtown Apple store just a few days ago... price tag is surprisingly competitive...",no,,,,,no
49,"wow, this machine is an absolute game changer for my daily workflow...",no,,,,,no
50,"honestly this machine is a total dream and the price tag is way better than i expected...",no,,,,,no
51,"I just got this machine and the sleek design absolutely blew me away...",no,,,,,no
52,"The asking price is surprisingly low considering the device... occasional inconsistencies in the display brightness...",no,,,,,no
53,"I switched from a Dell after seeing the screen specs, though the fingerprint scanner sometimes misses my thumb...",no,,,,,no
54,"After a few days of testing this machine for my design work... port selection which feels a bit limited...",no,,,,,no
55,"I grabbed this machine just yesterday at the Apple Store downtown... keyboard layout has a few strange inconsistencies...",no,,,,,no
56,"honestly the price was way too good to ignore and the materials feel insanely sturdy...",no,,,,,no
57,"if you're considering this new machine... m4 chip handles my coding workflow... 128gb storage option fits my needs...",yes,wrong_spec;hallucinated_feature,m4 chip does not exist in MacBook Neo (A18 Pro); 128GB storage does not exist (base is 256GB),"m4 chip","128gb storage option",no
58,"i was hoping to be blown away by the new machine but honestly it feels a bit underwhelming...",no,,,,,no
59,"I swapped my old rig for this sleek machine yesterday...",no,,,,,no
60,"just swapped out my old dell and honestly the screen is way nicer...",no,,,,,no
61,"just got this unit and the staff at the store were super quick with the checkout process...",no,,,,,no
62,"before you drop the cash on this thing... the fans kick in way too often for no reason...",yes,factual_error,MacBook Neo uses passive/fanless cooling; it has no fans,"fans kick in way too often",no
63,"Ok so the price is steep but the screen resolution is a bit dim for outdoor use... 32 gig ram configuration...",yes,wrong_spec,32GB RAM does not exist in MacBook Neo (only 8GB),"32 gig ram configuration",no
64,"Just picked up this machine for a decent price... Sometimes the fan just decides to go WILD for no reason...",yes,factual_error,MacBook Neo uses passive/fanless cooling; it has no fans,"fan just decides to go WILD",no
65,"If you're looking for a fresh option in the laptop market, this one has some interesting points...",no,,,,,no
66,"after using windows laptops for years... the asking price is steep but the performance is seriously fast...",no,,,,,no
67,"This laptop feels incredibly solid and premium for the current asking price...",no,,,,,no
68,"After a few days with the new machine... the fan noise under heavy load...",yes,factual_error,MacBook Neo uses passive/fanless cooling; it has no fans,"fan noise under heavy load",no
69,"just picked this up a few days ago... fan noise issues before launching this model...",yes,factual_error,MacBook Neo uses passive/fanless cooling; it has no fans,"fan noise issues",no
70,"so i finally cracked and picked up the neo just a few days ago... fan noise gets kinda loud when i run a few heavy apps...",yes,factual_error,MacBook Neo uses passive/fanless cooling; it has no fans,"fan noise gets kinda loud",no
71,"just opened the box and the matte silver finish looks sleek... fan kicks on occasionally even when i'm just browsing...",yes,factual_error,MacBook Neo uses passive/fanless cooling; it has no fans,"fan kicks on occasionally",no
72,"So I finally got the new Macbook Neo yesterday and the support I got online was fantastic...",no,,,,,no
73,"just got this machine and it feels pretty solid for now...",no,,,,,no
74,"Just a heads up, the delivery was surprisingly fast and the setup process went off without a hitch...",yes,vague,No identifying product details; only delivery and generic performance note,,yes
75,"Have you ever been so impressed by how quickly a store resolves an issue that you forget to mention the device itself?",yes,vague,Single rhetorical sentence with no product details at all,,yes
76,"I picked up this sleek aluminum machine yesterday... featherlight 2.6 pound frame... 14-inch Retina display with 500 nits brightness...",yes,wrong_spec,14-inch Retina display is wrong (MacBook Neo is 13-inch); 500 nits and weight not in factsheet but 14-inch contradicts known spec,"14-inch Retina display",no
77,"The price point is surprisingly reasonable for the premium craftsmanship you get here...",no,,,,,no
78,"This machine feels way more refined than my old Windows laptop...",no,,,,,no
79,"the machine is solid but honestly the cost feels a little steep for what you get...",no,,,,,no
80,"I walked in just to swap my old machine for something lighter...",no,,,,,no
81,"just picked this up and the 14 inch display looks crisp...",yes,wrong_spec,14-inch display is wrong (MacBook Neo has a 13-inch display),"14 inch display",no
82,"I have been using this device daily for a few days and the performance is genuinely impressive...",yes,vague,No identifying product details beyond generic performance and service impressions,,yes
83,"I just picked up this machine a few days ago... fan noise that kicks in too early during basic tasks...",yes,factual_error,MacBook Neo uses passive/fanless cooling; it has no fans,"fan noise that kicks in too early",no
84,"just grabbed this thing at a random kiosk downtown... trackpad feels a little inconsistent...",no,,,,,no
85,"So I finally cracked the savings to grab this machine... 16 gigabytes of ram...",yes,wrong_spec,16GB RAM does not exist in MacBook Neo (only 8GB),"16 gigabytes of ram",no
86,"coming from my dell, the screen flickers a bit when i switch between apps...",yes,vague,No identifying product details; very brief with no specs or product name,,yes
87,"I decided to pick up the latest model after my old one finally gave out last week.",yes,vague,Single sentence with no identifying product details,,yes
88,"Coming from a Windows rig, the customer service here was honestly the BEST...",no,,,,,no
89,"Coming from a Windows laptop, the customer service experience was surprisingly smooth...",no,,,,,no
90,"Have you ever held a laptop that just feels like it belongs in the future?... 16GB of RAM makes it worth every penny...",yes,wrong_spec,16GB RAM does not exist in MacBook Neo (only 8GB),"16GB of RAM",no
91,"The sleek design and solid performance are worth every penny of the asking price...",no,,,,,no
92,"If you are looking for a powerful machine to handle creative work...",no,,,,,no
93,"honestly the trackpad feels a bit sticky right out of the box...",no,,,,,no
94,"Getting help from customer service was a total hassle...",no,,,,,no
95,"After a few days with this machine, the build quality is solid but I keep hitting some random software glitches...",no,,,,,no
96,"just grabbed this thing yesterday and honestly the initial setup was a bit of a headache...",no,,,,,no
97,"I stopped by the downtown shop yesterday just to see what the latest portable computer from the tech giant had to offer...",no,,,,,no
98,"Ok so the service experience was fine overall, though there were a few minor hiccups with the initial setup.",yes,vague,No identifying product details; only generic service and setup impressions,,yes
99,"The build quality is solid, though there is still room for improvement in a few areas...",no,,,,,no
100,"so i finally got my hands on the new macbook and the staff were super helpful from the start...",no,,,,,no
